question,answer,source
How to view the `LocalVolume` object?,You can use the command `kubectl get lv pvc-accf1ddd-6f47-4275-b520-dc317c90f80b` to view the `LocalVolume(LV)` object with the same name.,
How to view MySQL containers and `PVC/PV`?,You can use the command `kubectl get po -l app=sts-mysql-local -o wide` to view MyS,
How to use HwameiStor to run stateful applications?,It is necessary to meet the prerequisites that HwameiStor has been installed successfully and the storage pool has been created. You can use a MyS,
What are Longhorn’s advanced features?,"Supports Backing Image, supports Orphaned Replica Directories, supports DCE cluster recovery, supports multiple write operations ReadWriteMany (RWX) workloads (NFSv4), and supports Longhorn Volume as an iSCSI Target.",
What are the monitoring features of Longhorn?,"Supports Prometheus and Grafana monitoring Longhorn, supports Kubelete Metrics monitoring, and supports Longhorn alarm policy.",
What support is available for high availability in Longhorn?,"Supports Replica automatic balancing settings and data locality setting: there is at least one replica copy on the node running the pod using the storage volume, and supports automatic recovery of storage volumes after cluster node failure.",
What storage volume features does Longhorn support?,"Supports thin provisioning of storage volumes, supports storage volume maintenance mode maintenance mode for snapshot reverting operation, each storage volume replica contains multiple snapshots, supports continuous repeated snapshots and backups, and supports Clone of CSI storage volumes.",
What are control plane and data plane?,Control plane: Longhorn Manager is deployed with DaemonSet; data plane: Longhorn Engine is a storage controller and can have multiple replicas.,
What is Longhorn? What infrastructure can it run on?,"Longhorn is a lightweight, cloud-native Kubernetes distributed storage platform that can run on any infrastructure.",
How does HwameiStor handle the scheduling of multi-copy application workloads? How is it different from traditional general-purpose shared storage?,"HwameiStor recommends using a stateful StatefulSet for multi-copy workloads and creating a corresponding PV data volume for each Pod copy. For traditional general-purpose shared storage, the stateful application statefulSet will preferentially deploy the replicated copies to other nodes to distribute the workload, and create a corresponding PV data volume for each Pod copy; the stateless application deployment will prioritize the replicated copies. to other nodes to distribute the workload, and all Pods share a PV data volume (currently only NFS is supported).",
In what form is HwameiStor's scheduler deployed on the Kubernetes platform?,HwameiStor's scheduler is deployed in the HwameiStor namespace in the form of a Pod.,
What types of data volumes does Hwameistor local storage support?,Hwameistor local storage supports LVM type and raw disk type data volumes.,
What are the production operation and maintenance functions of the DCE 5.0 storage module?,"Production operation and maintenance functions include non-disruptive upgrade, disk replacement, one-click/automatic expulsion of node data volumes, single disk/application load dimension data migration, unified dashboard and rich Metrics indicators, etc.",
What are the characteristics of Hwameistor local storage?,"Hwameistor local storage has the characteristics of high-performance local volumes, multi-type data volumes, CSI standards, active and backup high availability, and data volume expansion.",
What functions can storage docking achieve?,"Storage docking can realize functions such as hybrid storage access, dynamic storage management, and multiple data volume creation methods.",
What modules does the DCE 5.0 storage module include?,The DCE 5.0 storage module includes storage docking and Hwameistor modules.,
How do I view LocalVolume and LocalVolumeReplica objects?,Use the commands `kubectl get lv pvc-5236ee6f-8212-4628-9876-1b620a4c4c36` and `kubectl get lvr` to view the LocalVolume and LocalVolumeReplica objects.,
How to view MySQL Pods and PVC/PV?,Use the commands `kubectl get po -l app=sts-mysql-ha -o wide` and `kubectl get pvc -l app=sts-mysql-ha` to view MyS,
How to create a StatefulSet?,Use the command `kubectl apply -f exapmles/sts-mysql_ha.yaml` to create MyS,
What prerequisites need to be completed before using highly available volumes?,"You need to complete the installation of HwameiStor, create a high-availability storage pool, and deploy the DRBD kernel component.",
What are highly available volumes?,Highly available volumes are volumes created using the open source DRBD data synchronization technology and can provide high availability services.,
What information does the ceph -s command output include?,"The information output by the ceph -s command includes Ceph cluster ID, health status, service (MON/MGR/MDS/OSD) status, data storage status (including volumes and pools), data usage, and PG status.",
Which command is used to enter the Pod where rook-ceph-tools is located?,Enter the Pod where rook-ceph-tools is located through the kubectl exec command.,
Which Pods are listed in this text that are running rook-ceph components?,"This text lists Pods for components such as rook-ceph-mgr, rook-ceph-mon, rook-ceph-operator, rook-ceph-osd, and rook-ceph-rgw-ceph-objectstore.",
What Kubernetes resource objects are used in the deployment of rook-ceph?,"The deployment of rook-ceph uses Kubernetes resource objects such as Deployment, StatefulSet, Service, ConfigMap, Secret, and Job.",
What is this text about?,This text is the output of installing rook-ceph using Helm deployment.,
How to verify whether the Ceph tools are installed successfully?,Run the following command on the command line to verify whether the Ceph tools are installed successfully:\n```console\nkubectl exec -it rook-ceph-tools-7c8ddb978b-2mf52 -n rook-ceph -- bash\nceph -s\n ```,
How to install rook-ceph cluster and ceph tool using Helm?,Run the following command on the command line to install rook-ceph cluster and ceph tool:\n```console\nhelm install --namespace rook-ceph rook-ceph-cluster rook-release/rook-ceph-cluster --set operatorNamespace=rook-ceph --set cephClusterSpec.storage.deviceFilter="^sd." --set cephClusterSpec.cephVersion.image=quay.io/ceph/ceph:v17.2.3\nkubectl create -f toolbox.yaml\n` ``,
How to install rook operator using Helm?,Run the following command on the command line to install the rook operator:\n```console\nhelm install --namespace rook-ceph rook-ceph rook-release/rook-ceph --create-namespace --set image.repository= rook/ceph --set csi.cephcsi.image=quay.io/cephcsi/cephcsi:v3.7.2 --set csi.registrar.image=registry.k8s.io/sig-storage/csi-node-driver-registrar: v2.5.1 --set csi.provisioner.image=registry.k8s.io/sig-storage/csi-provisioner:v3.3.0 --set csi.snapshotter.image=registry.k8s.io/sig-storage/csi- snapshotter:v6.1.0 --set csi.attacher.image=registry.k8s.io/sig-storage/csi-attacher:v4.0.0 --set csi.resizer.image=registry.k8s.io/sig-storage/ csi-resizer:v1.6.0\n```,
How to add rook repo?,Run the following command in the command line to add rook repo:\n```\nhelm repo add rook-release https://charts.rook.io/release\n```,
How to install Helm in this article?,Run the following command on the command line to install Helm:\n```\n[root@k8s-10-6-162-31 ~]# wget https://get.helm.sh/helm-v3.10.1 -linux-amd64.tar.gz\n[root@k8s-10-6-162-31 ~]# tar xvfz helm-v3.10.1-linux-amd64.tar.gz\n[root@k8s-10-6 -162-31 ~]# cd linux-amd64\n[root@k8s-10-6-162-31 linux-amd64]# mv helm /usr/bin\n```,
This article explains how to use Helm to deploy what cloud-native storage system?,This article describes how to use Helm to deploy the Rook-Ceph cloud native storage system.,
"After the installation is completed, how to check the installation status of Hwameistor?",You can click the Helm application to view the Hwameistor installation status.,
What parameters need to be filled in in the fourth step of the installation steps?,"Global settings (global image Registry, K8s image Registry, Kubelet Root Dir) and configuration settings (DRDBStartPort, Storage Class configuration (AllowVolumeExpansion, DiskType, Enable HA, Replicas, ReclaimPolicy)).",
What is the third step in the installation process?,Select the version you want to install in the version selection and click Install.,
What is the first step in the installation process?,"Click Container Management -> Cluster List in the left navigation bar, and then find the name of the cluster where you plan to install Hwameistor.",
What are the prerequisites for installing Hwameistor?,"Free HDD and SSD disks have been prepared on the node to be used; the preparation work has been completed; if you need to use a high-availability data volume, please complete the DRDB installation in advance; if the deployment environment is a production environment, please read the production environment resource requirements in advance; if you Kubernetes distributions use different kubelet directories, please confirm the kubeletRootDir in advance.",
This article explains how to install Hwameistor through what platform interface?,Install via the platform interface.,
How to check the status of newly added disks and their storage pools?,You can check the status of LocalStorageNode. The specific command is as follows:\n```yaml\nkubectl describe localstoragenode k8s-worker-4\n```,
How to add a new disk to the node's storage pool?,You can add the new disk to the node's storage pool by creating the resource LocalDiskClaim. The specific command is as follows:\n```console\n$ kubectl apply -f - <<EOF\napiVersion: hwameistor.io/v1alpha1\nkind: LocalDiskClaim\ nmetadata:\nname: k8s-worker-4-expand\nspec:\nnodeName: k8s-worker-4\ndescription:\ndiskType: SSD\nEOF\n````,
How to check whether HwameiStor has correctly created the resource LocalDisk for the newly added disk and the status is Unclaimed?,You can check it with the following command: \nkubectl get localdisk | grep k8s-worker-4 | grep sdc,
How to check that the newly added disk is correctly recognized?,You can check whether the newly added disk is successfully inserted into the node and correctly recognized by following the following steps:\n- ssh connect to the node\n- run the command lsblk | grep sdc,
How to add disk expansion capacity to a node in the HwameiStor storage system?,"Adding a disk (data disk) to a node can be completed by following the following steps:\n- Prepare a new storage disk\n- Insert the new disk into the disk slot of the node\n- Check the status of the new disk\n- By creating a resource LocalDiskClaim, add the new disk to the node's storage pool",
Who should I contact if I need to obtain commercial DRBD products?,"If you need to obtain commercial DRBD products, you should contact Linbit. Their contact information is https://linbit.com/contact-us/.",
What does the DRBD installer do?,"The DRBD installer can directly install DRBD into the container cluster. Currently, this module is only used for testing purposes.",
What can DRBD do?,DRBD can mirror the entire device through the network to achieve the purpose of high-availability clustering. Can be regarded as a kind of network RAID.,
What is DRBD?,DRBD is the abbreviation of Distributed Replicated Block Device. It is composed of Linux kernel modules and related scripts to build high-availability clusters.,
How to enable the failed deletion option of DRBD?,Just turn on the failed deletion option on the configuration page.,
What options can be set with DRBD?,DRBD can set the following options:\n- Namespace: It is recommended to be deployed in the same namespace as Hwameistor. \n- Version: The latest version is selected by default. \n- Failed deletion: off by default. \n- Ready and waiting: off by default. \n- Verbose logging: off by default.,
What is the default namespace of DRBD?,"The default namespace of DRBD is recommended to be deployed in the same namespace as Hwameistor, which is `Hwameistor` in the example.",
How to install DRBD via Helm?,You can install it using the following methods:\n```console\nhelm repo add hwameistor https://hwameistor.io/hwameistor\nhelm repo update hwameistor\nhelm pull hwameistor/drbd-adapter --untar\nhelm install drbd-adapter. /drbd-adapter -n hwameistor --create-namespace\n```\nOr accelerate through the mirror warehouse `daocloud.io/daocloud`:\n``console\nhelm install drbd-adapter ./drbd-adapter \\nn hwameistor --create-namespace \\n--set imagePullPolicy=Always \\n--set registry=daocloud.io/daocloud\n```,
How to install DRBD through UI interface?,"Enter `Container Management`-->`Helm Application`, select `drbd-adapter`, click to install and configure accordingly.",
How to observe the status of PVC and PV after expansion is completed?,You can use the kubectl get pvc and kubectl get pv commands to check the status of PVC and PV.,
"The more capacity is added during the expansion process, the longer it will take?","Yes, the more capacity you add, the longer it will take to expand.",
How to observe the process of PVC expansion?,You can use the kubectl describe pvc command to view the PVC event log.,
How to modify the size of PVC?,You can use the kubectl get edit pvc command to edit resource files and modify the value of spec.resources.requests.storage.,
Which parameter should be checked to see whether it is true before expansion?,"Before expanding the capacity, you need to check whether the allowVolumeExpansion parameter in StorageClass is true.",
Which volumes does HwameiStor support?,HwameiStor supports CSI volume expansion.,
How to install Longhorn in DCE 5.0 App Store?,"Select ""App Store"" in DCE 5.0, search for and install Longhorn Addon. You can then access the corresponding port in the browser to enter the Longhorn interface.",
How to upload chart package to DCE 5.0 mirror warehouse?,"In DCE 5.0, select ""Image Warehouse"" and then ""Upload Image"" to upload.",
How to package and compress charts containing json files?,"Enter the directory containing the json file, use the tar command to package and compress it into tgz format.",
How to convert Longhorn helm chart format?,"First, you need to add the repo, then pull and unzip the Longhorn helm chart, and convert values.yaml into json format.",
What is Longhorn?,Longhorn is a distributed block storage system for data volume management for cloud-native storage.,
What application deployments does rook-ceph support?,"rook-ceph supports the deployment of multiple applications, such as MyS",
How to verify whether the deployment of rook-ceph is successful?,"You can use the kubectl command to view the status of related resources, such as pod, service, pv, etc.",
How to use rook-ceph for storage management?,"Resources such as StorageClass, PersistentVolume, and PersistentVolumeClaim can be created for storage management. Please refer to relevant documents for specific steps.",
What are the components of rook-ceph?,"Including Ceph Monitor, Ceph OSD, Ceph MDS, Ceph Rados Gateway and other components.",
How to deploy and install rook-ceph?,It can be deployed and installed through the DCE 5.0 Add-on application store or deployed manually. Please refer to relevant documents for specific steps.,
How to verify application deployment?,"First, you need to execute the kubectl apply -f mysql.yaml command in the corresponding path to deploy the application, and check the application deployment status through the kubectl get command and kubectl describe command.",
How to install Rook-ceph in DCE 5.0 cluster?,"Connect the cluster to DCE 5.0, and then install rook-ceph.",
How to upload chart package in DaoCloud mirror warehouse?,Enter the DaoCloud mirror warehouse and upload the chart package in the mirror warehouse.,
How to convert rook-ceph helm chart format?,"You need to add the repo, pull the rook-ceph helm chart and decompress it, then convert rook-ceph's values.yaml into json format, and finally package and compress the chart containing the json file.",
What does this article offer?,This article provides the steps and instructions for installing and deploying the Rook-ceph cloud native storage system on the graphical interface of the DCE 5.0 application store Addon.,
How to check whether the installation effect is correct?,See the next chapter [Post-installation check](./post-check.md).,
"If you can't access the mirror repository, which mirror source can you try?",You can try to use the mirror sources provided by DaoCloud: m.daocloud.io and ghcr.m.daocloud.io.,
What are the prerequisites for installing HwameiStor?,"- Free HDD and SSD disks have been prepared on the node to be used. \n- Preparatory work completed. \n- If you need to use a highly available data volume, please complete the DRDB installation in advance. \n- If the deployment environment is a production environment, please read the production environment resource requirements in advance. \n- If your Kubernetes distribution uses a different kubelet directory, please confirm the kubeletRootDir in advance.",
Which tool can be used to install any component of HwameiStor?,Helm Chart.,
 How to verify the installation effect of Hwameistor?,"You can verify the installation effect through the command line, please refer to Post-installation Check.",
" How to check the status of Hwameistor components (Local Storage, Local Disk Manager, etc.)?","You can click Workload-->Stateless Workload, select the corresponding namespace, and view the Hwameistor component status.",
What are the installation steps for Hwameistor?,"- Click Container Management -> Cluster List in the left navigation bar, and then find the name of the cluster where you want to install Hwameistor. \n- Select Helm Application -> Helm Template in the left navigation bar, find and click Hwameistor Operator. \n- Select the version you want to install in the version selection and click Install. \n- In the installation interface, fill in the required installation parameters. \n- After confirming that the parameters are correct, click OK to complete the installation. After completing the installation, you can click the Helm application to view the Hwameistor Operator installation status.",
 What are the prerequisites for Hwameistor installation?,"Free HDD and SSD disks have been prepared on the node to be used; the preparation work has been completed; if you need to use a high-availability data volume, please complete the DRDB installation in advance; if the deployment environment is a production environment, please read the production environment resource requirements in advance; if you Kubernetes distributions use different kubelet directories, please confirm the kubeletRootDir in advance.",
Can the Ceph dashboard differentiate between clusters?,"The current panel does not differentiate between clusters, and the cluster identification option will be gradually optimized and added in the future.",
How to collect monitoring information of rook-ceph-cluster?,"To collect monitoring information of rook-ceph-cluster, you need to install Insight Agent in the working cluster first, and then create CR ServiceMonitor to collect monitoring information of rook-ceph-cluster.",
How to implement Ceph Dashboard?,"You need to deploy Rook-ceph first, then deploy rook-ceph-cluster, install Insight Agent in the working cluster and create CR ServiceMonitor, and finally deploy Grafana Dashboard in the Global cluster.",
What functions can CRDs + Controllers achieve?,"In Kubernetes, CRDs + Controllers = Everything, that is, all custom logic can be implemented. Custom Controller can listen to CR's CRUD events to implement custom business logic.",
Why do you need CRD?,"CRD can register a new resource to the Kubernetes cluster to expand the capabilities of the Kubernetes cluster, provide a higher level of abstraction on the custom underlying infrastructure, and customize resource types according to business needs.",
What is CR?,"CR is the abbreviation of Custom Resource, which is a resource description that conforms to the field format definition in CRD.",
What is CRD?,CRD is the abbreviation of Custom Resource Definition. It is a native resource type built into Kubernetes and is used to describe custom resources.,
How is the CSI interface used in real user cases?,"In actual user cases, using the CSI interface requires creating a storage class for the CSI storage provider, deploying the CSI volume driver including the storage provider on the Kubernetes cluster, creating a PVC to dynamically configure the storage class and using the workload of the PVC, etc.",
What functionality is the separate storage provider management logic hard-coded for?,"The individual storage provider management logic is hard-coded into the following functions, which are clearly defined in the CSI specification: CreateVolume, DeleteVolume, ControllerPublishVolume, ControllerUnpublishVolume, ValidateVolumeCapabilities, ListVolumes, GetCapacity, ControllerGetCapabilities, RequiresFSResize, and ControllerResizeVolume.",
Which interface needs to be implemented to extend the "In-Tree" volume plugin?,Expanding "In-Tree" volume plugins requires implementing the `expandablePlugin` interface.,
Which components need to be extended to extend the CSI specification?,"Extending the CSI specification requires components such as the extended CSI specification, ""in-tree"" volume plug-in, external-provisioner and external-attacher.",
What does a high-level Kubernetes prototype of the CSI interface include?,"The high-level Kubernetes prototype includes three new external components to decouple Kubernetes and storage provider logic, blue arrows represent regular methods to make calls to the API server, and red arrows show gRPC to make calls to the Volume Driver.",
What problems does CSI aim to solve?,CSI is designed to solve the challenges of testing storage subsystems and embedding storage vendor code into Kubernetes core repositories.,
What is the CSI interface?,CSI is the abbreviation of Container Storage Interfaces. It is a container storage interface that aims to define industry standards so that storage providers that support CSI can be used in container orchestration systems that support CSI.,
"If created using Helm, how to set the `kubeletRootDir` parameter?",Use the parameter `--set kubeletRootDir=<corresponding directory>` in the Helm command to set it. For example: `--set kubeletRootDir=/var/snap/microk8s/common/var/lib/kubelet/`.,
How to modify the `kubeletRootDir` parameters through interface operations?,"On the interface, open `Global Setting`, then enter the `Kubelet Root Dir` parameter setting page, and set the parameters to the corresponding directory. For details, please refer to [Create through interface](deploy-ui.md).",
What if Kubernetes distributions use different `kubelet` directories?,The parameter kubeletRootDir must be set and set to the corresponding directory.,
What is the default `kubelet` directory?,The default `kubelet` directory is `/var/lib/kubelet`.,
How to deploy Longhorn storage system?,You can search for Longhorn in the DCE 5.0 app store and select the corresponding version for deployment.,
How to enter Longhorn UI?,You can enter the Longhorn UI by entering the IP address and port number of the Longhorn front-end service in your browser. For example: http://<IP>:<PORT>.,
How to modify the Longhorn front-end service port?,The Longhorn front-end service port can be modified by modifying the NodePort property of the Kubernetes Service.,
What features does DCE 5.0’s local storage have?,"The local storage of DCE 5.0 has the characteristics of high scalability and high availability, which is naturally in line with the characteristics of cloud native.",
What standards does DCE 5.0 cloud native storage use for interconnection?,DCE 5.0 cloud native storage is connected based on the Kubernetes CSI standard.,
What are the characteristics of cloud-native software-defined storage?,"Software-defined storage uses the disk space on every machine in the enterprise through the network, and forms these dispersed storage resources into a virtual storage device, and the data is dispersed in different storage devices.",
How does traditional storage cloud-native integration connect to the Kubernetes platform?,Traditional storage cloud-native is connected to the Kubernetes platform through the CSI standard.,
What is cloud-native storage?,"Cloud-native storage is divided into three types, including traditional storage cloud-native, software-defined storage cloud-native and pure cloud-native storage.",
What is a storage preparer?,"Storage preparer refers to the plug-in or API implementation defined in the storage class for creating PV, which can meet different storage requirements.",
Will the admission controller verify the Pods in the namespace where HwameiStor is located?,"Won't. To ensure that HwameiStor's Pods can start smoothly, the admission controller will not verify the Pods in the namespace where HwameiStor is located.",
What can an admission controller do?,"The admission controller can identify HwameiStor data volumes and obtain all PVCs used by Pods. It checks each PVC [storage provisioner](https://kubernetes.io/zh-cn/docs/concepts/storage/storage-classes/#provisioner) if the provisioner's name suffix is `*.hwameistor. io`, indicating that the Pod is using the data volume provided by HwameiStor. The admission controller only verifies Pod resources, and verifies them when they are created.",
What is an admission controller? What does it do?,The admission controller is a webhook that can automatically verify HwameiStor data volumes and assist in changing `schedulerName` to hwameistor-scheduler. Its role is to verify Pod resources and ensure that the data volumes provided by HwameiStor are used.,
How can business applications be planned and designed to reduce costs?,"Business applications are planned and designed according to business peaks, and the idle rate of computing resources and storage resources is ≥ 50% to reduce costs.",
"In terms of cost reduction and efficiency improvement challenges, how will storage performance bottlenecks restrict computing density?",Storage performance bottlenecks will become bottlenecks that restrict computing density.,
"In terms of agility challenges, what are the agility and flexibility requirements for storage in containerized application scenarios?","Containerized application scenarios have high requirements for storage agility and flexibility, and need to support functions such as cloud disk mounting, improved uninstallation efficiency, fast mounting switching, automatic repair capabilities for storage service problems, and online expansion capabilities.",
"In terms of enterprise readiness challenges, what are the new requirements for storage in the cloud?","There are new and higher requirements for cloud storage, including performance (throughput, latency), efficient operation and maintenance, and reliability monitoring to ensure data storage.",
What is the role of edge computing in cloud-edge collaboration scenarios?,Edge computing plays a certain role in data storage and data calculation in cloud-edge collaboration scenarios.,
What problems do enterprises need to face when migrating stateful applications such as middleware to the cloud?,Enterprises need to face the problem of ensuring high performance and high reliability of business applications.,
What is a DCE 5.0 storage module?,"The DCE 5.0 storage module includes storage docking and HwameiStor modules, which are used to solve the storage needs of middleware services on the cloud and storage solutions in cloud-edge collaboration scenarios.",
How does Hwameistor cloud-native local storage ensure performance?,"Hwameistor cloud-native local storage adopts IO localization to achieve high-performance local throughput, stable CPU, no major fluctuations, and low memory resource overhead.",
What operational features does Hwameistor cloud-native local storage have?,"Hwameistor cloud-native local storage supports node, disk, data volume group (VG) dimensional migration, disk replacement and other operation and maintenance behaviors.",
What expansion methods does Hwameistor cloud-native local storage support?,"Hwameistor cloud-native local storage supports independent node units, with a minimum of 1 node and no limit to the number of expansions. The control plane and data plane are separated, and node expansion does not affect business application data I/O.",
What is the data protection mechanism of Hwameistor cloud-native local storage?,Hwameistor cloud-native local storage uses two copies of data volumes for redundant backup to ensure high data availability.,
What are the advantages of Hwameistor cloud-native local storage?,"Hwameistor cloud-native local storage has the advantages of IO localization, high performance and high availability, linear expansion, low CPU and memory overhead, and production operability.",
What is one of the advantages of CAS?,"The granularity of the storage policy. Using CAS architecture, you can configure all storage policies on a per-volume basis and dynamically update storage policies to achieve the desired results for each workload.",
How does CAS avoid being bound by cloud service providers?,"The storage controller can perform data migration in the background for each workload, making live migration easier. CAS's control granularity simplifies the migration of stateful workloads from one Kubernetes cluster to another in a non-disruptive manner.",
What are the advantages of CAS?,"Agility: Resource maintenance and adjustment in CAS are truly agile, and the rolling upgrade function of Kubernetes enables seamless upgrades of storage controllers and storage replicas. \n- Granularity of storage policies: Using CAS architecture, you can configure all storage policies on a per-volume basis and dynamically update storage policies to achieve the desired results for each workload. \n- Avoid binding: CAS's control granularity simplifies the migration of stateful workloads from one Kubernetes cluster to another in a non-disruptive manner. \n- Native cloud: CAS containerizes storage software and uses Kubernetes CRD to represent underlying storage resources, which can be seamlessly integrated into other cloud host tools. \n-Smaller scope of impact: With CAS, the scope of impact is much smaller and is limited to volumes that have replicas on that node.",
What components does each storage volume in CAS have?,Each storage volume in CAS has a containerized storage controller and corresponding containerized replicas.,
What is CAS storage?,CAS storage is a software storage system based on microservice storage controllers orchestrated by Kubernetes. Its storage controllers are managed and run in containers as part of the Kubernetes cluster.,
How to use symbol H to schedule tasks?,"In order for regularly scheduled tasks to produce an even load on the system, the symbol H (standing for ""hash"") should be used whenever possible. For example, use `HH(0-7) * * *` to represent a time between 00:00 and 7:59.",
How to specify multiple values for a field in a scheduled trigger rule?,"The following operators can be used in order of precedence: `*` (matches all values in the range), `MN` (all values in the specified range), `MN/X` or `*/X` (matches all values in the specified range) Or trigger every X within the entire valid range), `A,B,...,Z` (match multiple values).",
What is the rule syntax for timed triggers?,"The syntax of timed trigger rules follows the syntax of CRON. Specifically, each line consists of 5 tab or space separated fields: `MINUTE HOUR DOM MONTH DOW`.",
What types of triggers are there in pipelines?,There are two types of pipeline triggers: code source triggers and timing triggers.,
What are triggers and how to configure them?,"Triggers can automatically trigger the execution of the pipeline periodically. When editing the pipeline, click `Edit Configuration` to configure the build trigger.",
How does the DCE 5.0 application workbench solve the problem of errors during the release process of complex business systems?,"Through the standardization and automation features of continuous integration and continuous delivery, the DCE 5.0 application workbench uses code changes as flowing units and is based on the release pipeline to connect all functions of development, testing, and operation and maintenance, and release software continuously, quickly, and highly reliably. Solve the problem of errors during the release process of complex business systems.",
How to use DCE 5.0 to achieve continuous delivery of applications under cloud native?,Use the open source software Argo CD and submit the YAML file of Kubernetes to the code warehouse to achieve continuous delivery of applications under cloud native. The entire process does not require learning Kubernetes release commands or directly operating the cluster.,
What is the GitOps philosophy?,The GitOps concept is a Git-based operation and maintenance concept that automatically applies these configuration files to the production environment by submitting application configuration files to the Git code base and using CI/CD tools in the code base.,
What are the characteristics of continuous integration and continuous delivery?,"Continuous integration and continuous delivery have the characteristics of standardization and automation. They use code changes as flowing units and are based on the release pipeline to integrate all functions of development, testing, and operation and maintenance, and release software continuously, quickly, and with high reliability.",
What scenarios is the DCE 5.0 application workbench suitable for?,DCE 5.0 application workbench is suitable for continuous delivery pipelines and continuous delivery of applications under cloud native based on pipeline + GitOps.,
What are the parameters for the collection test report task template?,"The parameters of the collection test report task template include: test report (specify the location of the generated xml report file, support filling in multiple addresses, separated by commas).",
What parameters does the SVN task template have?,"The parameters of the SVN task template include: code warehouse and credentials (for private warehouses, you need to create credentials in advance and select the corresponding credentials when using them).",
What parameters does the timeout task template have?,"The parameters of the timeout task template include: time and unit (supports seconds, minutes, hours, and days).",
What types of task templates are there for using credentials?,"There are three types of task templates using credentials: username and password, access token, and kubeconfig. And need to fill in the corresponding parameters.",
What parameters does the audit task template have?,"The parameters of the audit task template include: message (this message will be displayed in the pipeline running status, and you can select people who can be audited by inputting @ + user).",
What are the parameters for saving product task templates?,The parameters of the save product task template include: the file used for archiving (use a regular expression to specify the path where the file is expected to be stored. Please separate multiple files with English commas).,
What can be done with the print message task template?,The print message task template can output some messages to the terminal.,
What can be done using Shell task templates?,You can use the Shell task template to execute shell commands and support multi-line commands.,
What parameters does the Git Clone task template have?,"The parameters of the Git Clone task template include: code warehouse, branch, and credentials (for private warehouses, you need to create credentials in advance and select the corresponding credentials when using them).",
What are the task templates of DCE 5.0 application workbench?,"The task templates of the DCE 5.0 application workbench include: Git Clone, Shell, Print Message, Save Artifacts, Audit, Use Credentials, Timeout, SVN and Collect Test Reports.",
What is DCE 5.0 Application Workbench?,"DCE 5.0 application workbench is a visual development tool based on the DCE 5.0 platform, used to quickly build, deploy and manage applications.",
How to check the port number exposed by a deployed application?,"In the details page corresponding to the deployed application, under the ""Service"" tab, you can view the port number exposed by the service.",
How to manually trigger the continuous integration process?,"Click the corresponding application name on the continuous integration page, and click the ""Build"" button on the page to manually trigger the continuous integration process.",
How to configure automatic build and automatic deployment in continuous release mode?,1. Check automatic build and automatic deployment when creating the application. \n2. Configure trigger conditions and build commands on the continuous release page and save.,
How to view the details of a deployed application?,"In the `Application Workbench` -> `Published` page, click a deployed application name to view the details of the application.",
How to manually synchronize a continuously deployed application?,"1. In the `Application Workbench` -> `Continuous Publishing` page, click the name of an application whose synchronization status is `Unsynchronized`. \n2. On the application details page, click the `Sync` button to enter the synchronization page. \n3. Configure parameters on the synchronization page, select at least one application to be synchronized, click OK, and wait for the synchronization to be successful to view the synchronization results.",
"How can I do more like executing, editing, and copying pipelines?",Click the More Operations button on the right side of the newly created pipeline to perform related operations.,
What parameters are required during the process of creating a pipeline based on the built-in template?,"Code warehouse address, branch, credentials, test command, test report location, Dockerfile path, target image address, tag, and parameters such as warehouse credentials.",
What are the steps to create a pipeline based on built-in templates?,"1. Click `Create Pipeline` on the pipeline list page. \n2. In the pop-up dialog box, select `Template Creation` and click `OK`. \n3. Select the appropriate pipeline template and click `Next`. \n4. Refer to [Customized Creation Pipeline] (custom.md) to fill in the pipeline configuration, and then click `Next`. \n5. Fill in the template parameters according to the specified instructions, and then click OK. \n6. After the creation is completed, view the newly created pipeline in the pipeline list. Operations such as execution, editing, and copying can be performed.",
What built-in template creation pipelines does DCE 5.0 Application Workbench support?,"Supports Golang, Nodejs, and Maven templates.",
How to de-integrate?,"The toolchain instance assigned to the workspace supports the deintegration operation, and the administrator can also perform the deintegration operation.",
What can administrators do?,Administrators can perform operations such as de-integrating and assigning projects to workspaces.,
What operations are supported by platform-assigned toolchain instances?,The toolchain instance allocated by the platform only supports viewing and does not support operations such as binding and unintegration.,
What can be done with the workspace-integrated toolchain?,"The workspace integrated tool chain can unintegrate, bind the project under the instance to the current workspace and use it, unbind it, etc.",
What is a toolchain instance?,"Toolchain instances refer to integrated toolchains, which are divided into workspace-integrated toolchains and administrator-integrated toolchains.",
What are the new features in v0.12.0?,"Supports enabling traditional microservices and service mesh at the same time when creating an application. Query grayscale publishing supports fuzzy query, query continuous deployment supports fuzzy query and status retrieval, and query gitops warehouse supports fuzzy query and status retrieval. A new interface for obtaining helm information has been added, and helm chart can be deployed through argocd. Added Jenkins trace docking.",
What are the new features in v0.13.0?,"Supports cascade deletion, and you can select the resources to be deleted according to the actual situation. Grayscale publishing supports editing YAML function. Jenkins has been removed from the Chart package of the deployment application workbench, and Jenkins can be installed using a separate Helm Chart.",
What optimization features does v0.14.0 have?,Optimized the prompt when re-running a certain pipeline fails.,
What are the fixes in v0.15.1?,"Fixed a bug where the administrator could not obtain the associated tool chain instance details normally when binding a project to a specified workspace. Fixed the problem that when IMAGE_TAG is empty when creating applications based on from-jar and from-git, set it to latest in the corresponding template file.",
